,Gene Description,Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1371,ANX11 Annexin XI (56kD autoantigen),L19605_at,1790,3155,2567,1154,1114,1795,15688,1146,3583,1838,1442,912,1810,2744,1435,1694,3203,1683,1096,1885,1024,941,1751,1136,1227,2492,937,1659,1312,2464,2129,3169,1541,2131,1478,2949,1382,849
1375,Histone H2A.2 mRNA,L19779_at,4660,4644,2488,3153,3185,1198,4528,1454,1798,5702,1248,11149,4229,841,2826,3097,5339,932,1045,6219,2700,2809,1212,6566,11473,6414,1678,7493,8137,20688,5272,11139,3959,20201,1055,9452,16492,10574
1402,HnRNP H mRNA,L22009_at,3401,2996,4007,2949,4156,3871,3495,4965,3349,1960,5389,2693,2079,3052,2990,2487,2429,1345,2556,3906,4714,5656,2815,3253,4131,2007,2301,2757,2453,2539,2837,2690,2132,2695,2536,4887,2168,4509
1420,ARH12 Aplysia ras-related homolog 12,L25080_at,7881,7772,4378,5676,5292,4052,3295,5181,7537,6187,7185,6502,8718,3463,6257,6094,9778,4118,4634,9683,5157,4345,3311,5116,4153,10084,3439,4446,4283,7518,5874,6504,5300,5083,2154,6182,4124,2982
1422,PROTEIN TRANSPORT PROTEIN SEC61 BETA SUBUNIT,L25085_at,809,1802,1839,660,1777,878,-67,241,4105,1125,3224,484,731,1780,1246,1035,1414,2639,206,2969,2163,942,868,1392,849,949,-4,1534,1487,1850,1496,444,1307,941,377,2062,2074,2769
1432,RPL3 Ribosomal protein L3,L26247_at,4279,13116,6428,3675,6411,4201,4239,3625,10626,7341,13447,5459,7492,3139,5550,4538,3282,5267,5160,11184,4499,8800,3995,5819,6383,7484,2315,8885,6632,9491,6252,10998,9246,7770,4328,11257,12512,12221
1444,CCT6 Chaperonin containing T-complex subunit 6,L27706_at,486,491,569,293,421,293,369,293,843,451,581,308,812,675,763,621,640,511,396,2105,1154,256,360,789,397,644,603,544,531,512,363,270,284,434,302,413,263,225
1447,HnRNP F protein mRNA,L28010_at,802,575,978,1042,1302,782,868,662,1759,1071,904,300,1873,1998,1770,1072,2871,586,677,2592,2247,438,547,1376,464,660,909,623,427,614,480,518,1088,431,449,306,603,438
1472,UBIQUINOL-CYTOCHROME C REDUCTASE IRON-SULFUR SUBUNIT PRECURSOR,L32977_at,959,2475,1170,666,1015,844,549,473,2071,1328,2579,1227,1534,1258,1616,1467,2188,1137,978,5304,3117,1065,1227,1321,1126,1054,807,1500,1946,2052,1389,1253,1156,895,415,1615,1398,1169
1478,Protein kinase mRNA,L33801_at,287,354,361,93,124,289,45,83,288,115,204,114,211,323,301,147,393,269,93,135,189,52,224,468,66,194,269,80,142,128,163,383,30,260,129,201,146,197
1479,(clone FFE-7) type II inosine monophosphate dehydrogenase (IMPDH2) gene; exons 1-13,L33842_rna1_at,1185,1337,808,2226,3197,908,1403,1073,4877,2385,2049,2052,2149,1945,3238,2058,2847,3247,2736,7479,4052,612,1170,1756,2077,2622,1952,4484,2060,1544,2040,937,673,3523,1755,1960,1474,690
1507,PHOSPHATIDYLINOSITOL 4-KINASE ALPHA,L36151_at,1810,2961,2471,1389,2015,1392,1695,1416,2844,1410,2160,1013,2213,1886,2309,1453,2649,703,1092,3048,1726,1469,1632,2184,1871,1301,1300,1183,1200,2704,1365,2975,1547,1711,1397,2883,1539,2462
1546,GT197 partial ORF mRNA; 3' end of cds,L38932_at,2022,1425,2352,1807,1391,1200,2039,1562,2421,1473,1541,875,1609,1331,1008,1410,1171,997,920,3185,2241,1768,1445,1172,1093,1664,1896,1697,924,1533,1879,1661,2576,1319,1247,2278,2097,1918
1549,RPL37 Ribosomal protein L37,L38941_at,15962,21492,18010,18467,16105,11471,16188,13618,18757,17741,21851,9174,17992,18691,13319,18762,12462,14221,20398,22264,28788,12732,13189,20579,14209,15345,21251,20327,16980,20303,16823,16831,21232,22386,13302,10975,20056,23514
1561,Glycogen synthase kinase 3 mRNA,L40027_at,1125,829,1110,792,975,762,868,1066,1918,840,1206,395,1280,949,979,1116,1761,634,663,2188,1494,717,864,1171,871,1271,200,817,683,681,824,1257,1236,951,771,973,1150,1060
1624,Scaffold attachment factor (SAF-B) gene; partial cds,L43631_at,841,761,846,699,834,499,890,571,995,584,1039,307,1146,916,779,605,955,437,822,3315,828,632,324,1181,408,653,599,722,430,676,393,527,545,546,406,743,449,1066
1640,Interleukin-1 receptor-associated kinase (IRAK) mRNA,L76191_at,1720,1127,1093,1599,1569,638,1925,877,1679,574,1191,2128,1696,1106,2065,1271,1536,678,762,1933,1049,789,813,2190,1038,1670,957,1151,1153,2756,1123,1108,2414,1089,764,2244,2081,761
1672,GB DEF = Endogenous retrovirus envelope region mRNA (PL1),M11119_at,1768,1189,2088,2045,900,983,2651,1191,1136,1076,1079,780,836,1328,872,1411,1706,1193,877,1700,1492,1301,412,2231,828,891,2023,1351,591,893,869,1584,2063,1175,1106,1261,1257,1385
1673,FTL Ferritin; light polypeptide,M11147_at,5418,17348,6156,7070,9017,6221,4746,7881,9431,5092,6027,15280,6183,13077,8506,3720,12676,9783,4453,13988,2900,6074,3729,6023,13278,4718,4110,16705,11012,18372,12276,19173,21498,12406,7855,24521,21277,20124
1676,EEF1G Translation elongation factor 1 gamma,M11353_at,14913,14924,19777,14619,14573,10619,14650,17011,15050,9423,15490,9183,12586,16065,13228,14483,16101,4215,11163,16819,17227,11360,10052,15896,7078,8793,13124,11838,7933,8476,10304,14909,9112,9205,10726,9395,13237,10437
1699,ESD Esterase D/formylglutathione hydrolase,M13450_at,2149,1870,3234,2192,2172,1625,2409,1152,3796,1507,3109,829,1711,1866,2262,1466,3123,901,870,3566,1215,881,1417,3018,1658,1354,976,1728,920,1281,1144,1522,1769,1633,1315,997,1333,1296
1703,ADA Adenosine deaminase,M13792_at,3221,10954,16529,5364,2837,16135,6067,3103,15235,8982,8630,1695,4765,3529,9000,10227,8469,2091,2273,12217,2973,1743,12805,5981,2425,3323,2617,2493,487,769,1614,4148,1446,911,2551,1297,753,2708
1706,RPS14 gene (ribosomal protein S14) extracted from Human ribosomal protein S14 gene,M13934_cds2_at,14108,12913,16066,15496,15002,16775,17770,14010,16467,17688,17068,19078,13783,16001,14792,15912,9278,15967,17911,14520,3070,16169,17279,15575,15883,15301,16951,16526,18979,15610,19473,11919,17069,16149,17757,16993,17371,18181
1731,GUSB Glucuronidase; beta,M15182_at,1491,845,1354,819,1209,967,947,698,1588,859,784,768,1055,1265,1369,938,1167,634,813,3497,1069,589,963,1310,687,1004,611,1031,1241,2606,2005,1055,765,1415,1000,1741,1467,854
1736,RPL44 Ribosomal protein L44,M15661_at,926,1646,1724,1407,1346,1477,1371,404,1891,1083,3407,1007,911,1467,1895,979,677,1294,977,2625,2020,672,1020,1829,659,759,693,1399,2159,1724,1489,1086,2450,1413,949,1302,2135,1255
1762,Thymosin beta-4 mRNA,M17733_at,14223,17650,21798,15790,15470,29496,18805,17175,17827,21874,17789,25622,18530,14919,17499,19987,15084,23352,14423,14836,20840,10036,21444,18546,16072,14954,12987,11444,10319,16802,14026,15939,17207,13905,13424,17332,14387,15140
1764,RPLP0 Ribosomal protein; large; P0,M17885_at,20663,23952,21873,23052,22863,27994,19901,26804,19765,28033,25524,28619,21474,23810,23891,25393,22141,26440,23297,15232,24694,23086,27159,23082,26232,23625,28296,23447,30354,22417,28350,25093,22347,23046,25310,23308,24572,22203
1765,RPLP1 Ribosomal protein; large; P1,M17886_at,14744,16712,16731,17036,16806,23456,16959,18213,16113,20922,19733,25213,18877,17723,16858,17858,15040,20832,20221,12945,17086,18918,22274,17151,19906,18341,23498,16672,25141,15917,21941,17661,16653,18291,27470,20499,17868,18830
1766,40S RIBOSOMAL PROTEIN S17,M18000_at,17748,21825,16891,19994,17680,19997,18972,15780,22225,21794,20866,22066,17259,22061,20365,21277,17557,23019,21412,19285,29485,17540,21018,19389,22679,20717,24399,20910,23990,20413,21749,20722,18258,22002,18847,16338,20226,20402
1774,ACTG1 Actin; gamma 1,M19283_at,6284,14069,13354,10677,15517,6638,7852,7432,16358,9850,9459,3904,11615,7290,14695,11916,14838,14417,6941,16627,3575,11049,9888,10929,6534,10243,8759,8749,11206,13621,8768,8030,6113,7372,4453,10625,5345,5785
1777,ATP5B ATP synthase; H+ transporting; mitochondrial F1 complex; beta polypeptide,M19483_at,2810,5085,4601,3740,5879,2692,3137,2794,6235,4938,4055,2010,3427,4459,5142,3911,5052,1995,3632,8612,1585,2364,2365,5018,2456,2734,2296,3606,3328,5139,3245,2260,2495,3747,2308,3367,3105,3244
1789,CLTA Clathrin light chain A,M20471_at,957,1357,796,1856,2698,969,1920,812,1789,992,524,651,1633,1376,2784,1438,1275,1426,1493,3982,3390,377,590,2173,427,543,941,1231,1324,1660,1725,851,780,1516,1238,1264,1209,728
1803,SNRPE Small nuclear ribonucleoprotein polypeptide E,M21259_at,1716,2421,3334,2284,3467,1435,1330,1895,3791,2337,3387,1158,1918,2747,3257,2795,2525,1517,2120,6651,6084,2078,1662,3034,1789,1720,1351,2104,2056,1528,1429,1226,1058,1642,1344,1213,1410,1570
1809,MYL2 Myosin; light polypeptide 2; regulatory; cardiac; slow,M21812_at,893,622,1180,657,504,524,984,881,758,683,581,524,529,775,458,486,590,578,580,670,319,655,501,687,557,574,890,905,358,608,728,1092,1297,704,920,982,872,1145
1817,HSPD1 Heat shock 60 kD protein 1 (chaperonin),M22382_at,1683,1359,1890,2409,3099,1002,1900,1628,2016,2969,1960,1589,3023,3430,3388,2250,5159,2067,1756,7085,5634,919,1166,3983,4728,2121,2400,2786,1254,5526,1819,967,911,1634,1647,1279,1164,824
1821,NDUFV2 NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD),M22538_at,704,4107,1010,905,2204,828,793,509,1721,952,1055,787,1647,1389,2337,1118,1980,3069,999,3065,719,844,782,1062,801,797,483,1292,2136,2120,1164,623,620,771,646,1249,2878,3480
1824,CYTOCHROME C OXIDASE POLYPEPTIDE VA PRECURSOR,M22760_at,625,1594,1257,1122,2318,830,660,538,2175,1237,1528,827,859,2067,1998,982,1500,1790,695,2264,3610,604,824,1895,1023,955,341,1194,1224,1731,1421,1005,412,1295,632,1396,678,707
1838,NPM1 Nucleophosmin (nucleolar phosphoprotein B23; numatrin),M23613_at,9459,6073,12044,10292,12619,8241,7522,5162,14825,12022,11496,6711,7346,12217,13437,11935,6735,12231,15891,15987,17810,7746,9529,11729,6823,11032,10450,11524,7992,9249,6758,7874,6366,10453,6052,5878,5966,5310
1840,Alpha-tubulin mRNA,M24194_at,16944,14183,19370,20411,19924,19403,16666,19283,19459,23122,20742,15345,18349,20225,18596,22066,14005,24724,25926,17601,22233,21143,19002,18221,17281,21408,25800,18678,22366,18294,22570,19255,19132,19381,17933,16961,19774,21444
1871,UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1,M26880_at,6594,10565,6969,2606,2716,3769,4891,7652,7799,4216,8740,4291,5386,4006,4326,4891,10093,4957,3131,13156,11336,6327,4443,4840,9570,8893,4047,6999,3525,9141,4223,6259,6621,7102,5076,7473,5120,5078
1896,HNRPA2B1 Heterogeneous nuclear ribonucleoprotein A2/B1,M29064_at,1513,2221,2239,1235,2008,1515,1450,1185,2347,2095,1388,911,3014,1858,2533,1977,3582,838,1503,4536,2601,244,1195,2688,1322,1645,1411,1084,833,1409,969,1381,774,1182,1065,1787,657,631
1902,Translational initiation factor 2 beta subunit (elF-2-beta) mRNA,M29536_at,856,856,1186,1179,1496,608,814,755,1405,1029,801,434,895,1203,1786,1173,1465,1180,1095,2689,1661,549,594,907,947,654,849,590,524,919,631,750,843,508,509,586,840,712
1921,MYH9 Myosin; heavy polypeptide 9; non-muscle,M31013_at,2676,2983,2172,2167,3648,1817,3703,1012,4193,1562,1825,1214,3047,2695,2638,1794,2407,2544,2095,3655,2800,1195,894,6132,1089,2474,1275,3711,1767,3971,3404,3170,1954,2055,1464,4737,1694,857
1927,Oncoprotein 18 (Op18) gene,M31303_rna1_at,3828,3021,7247,3780,3563,4890,3330,4213,7230,5052,3352,2290,4751,2346,3347,3207,6633,2143,2291,5933,2306,2131,4677,3182,2910,2648,2818,2176,1486,730,3719,1985,1528,1647,2195,1885,1359,1291
1929,Ribosomal protein S24,M31520_at,14924,18002,15290,17099,16011,8759,11004,15988,15834,12111,15533,12393,15036,19190,15093,16567,19793,15774,13578,17903,17917,16160,13726,15763,18816,15988,18569,18030,14657,17670,14219,15815,18809,19696,19109,15456,17814,19931
1948,Protein kinase (JNK2) mRNA,M32405_at,6163,4830,6855,7942,8221,9394,6321,6499,8207,7419,8492,11768,6839,4844,9251,6595,3959,6315,8312,8338,11735,4416,7358,7415,8100,7582,4622,6291,10267,4124,9645,6734,6644,6615,7206,8037,8682,7628
1954,PRKAR1A CAMP-dependent protein kinase regulatory subunit type I,M33336_at,1801,781,1163,1192,2206,442,976,1286,1432,363,511,209,1781,1585,1685,1800,2754,1248,601,3971,497,1167,269,1597,653,720,747,341,654,540,651,956,481,519,262,500,187,171
1961,26-kDa cell surface protein TAPA-1 mRNA,M33680_at,5565,5318,2584,11689,10308,2647,9428,4742,5522,3093,4194,4101,7747,3076,10614,6737,4371,3990,4553,12747,11199,7910,4316,14682,3233,5779,7410,3768,947,4576,2584,6414,3197,1467,1639,2040,2840,3589
1969,CLAPB1 Clathrin-associated/assembly/adaptor protein; large; beta 1,M34175_at,1128,755,1206,642,640,666,796,755,1321,597,662,191,763,807,509,532,912,390,579,1933,372,553,697,749,576,676,743,833,544,938,919,860,948,833,993,776,741,995
1977,FKBP1 FK506-binding protein 1 (12kD),M34539_at,1703,1845,339,435,1081,782,537,809,2253,983,1145,393,1249,766,1096,610,1657,699,60,4831,500,185,258,728,1543,1018,-75,380,743,1946,1603,1616,-489,289,271,1586,478,58
1992,ARF4 ADP-ribosylation factor 4,M36341_at,775,954,954,689,835,339,675,614,1045,708,912,321,586,725,715,617,1082,515,650,2581,883,483,522,765,423,284,774,722,952,789,703,537,1355,566,745,765,1038,1076
1994,CD53 CD53 antigen,M37033_at,6095,3794,4758,5558,3868,2665,5292,4808,3739,1895,1559,1570,4313,4573,5622,5218,4451,2836,3735,12240,2033,2936,1065,5006,2630,2746,2149,2480,1056,3948,2880,3777,4027,1600,1870,5329,3049,2978
1995,ATP5 ATP synthase; H+ transporting; mitochondrial,M37104_at,712,1129,1717,803,1200,928,591,617,1311,1035,924,623,999,1214,1047,977,775,646,657,2055,1532,304,847,896,721,620,610,772,684,930,1030,854,424,712,562,896,656,646
2001,H2AZ H2AZ histone,M37583_at,2030,2741,4260,1886,1977,3279,1376,1304,5366,3168,4218,1733,4231,2226,3327,1260,3065,2090,994,2978,4788,1199,4240,2538,1868,1428,1553,2855,2137,2072,2209,824,1674,1657,1466,2495,2595,1471
2047,UBE1 Ubiquitin activating enzyme E1,M58028_at,2450,2507,3854,2288,1983,2880,3824,3263,3546,2024,2163,1912,3814,3576,3386,1683,2511,1269,2168,3866,404,940,2663,2977,2119,3106,1364,1707,662,2500,3934,1745,2370,1706,1495,3602,1321,1384
2048,Membrane-associated protein (HEM-1) mRNA,M58285_at,1917,1603,3200,1416,1749,1522,825,1845,1847,909,931,1013,722,1725,1138,1283,934,1173,733,1791,1176,1162,1016,1993,455,894,1207,1044,695,2798,1238,1615,1639,1184,1464,1911,2172,2250
2092,RPS16 Ribosomal protein S16,M60854_at,19478,20027,21623,19945,21763,23602,24851,18045,19985,22465,22499,22263,16824,20759,20157,20362,18573,21333,18830,17059,14235,22762,27396,21226,21323,19484,23315,19749,22925,19146,22523,20006,20056,19692,17212,19626,20245,20711
2093,Nucleolin gene,M60858_rna1_at,5147,5821,6436,4864,7901,4891,3525,3802,8618,7418,5430,3311,6607,6523,6912,5975,8153,3015,6394,12612,3617,3524,4896,7172,4281,5602,3767,5216,2767,4725,4791,4808,3529,4354,3549,4882,4243,4027
2129,MATRIN 3,M63483_at,910,1260,1646,1041,1326,1244,850,788,1408,1398,1046,671,1548,544,1383,1392,777,708,1465,994,815,710,1174,1701,962,436,1057,1663,823,1523,1474,1146,1900,1245,586,993,770,502
2158,RPS25 Ribosomal protein S25,M64716_at,13008,13342,13861,13162,11780,17184,12190,13971,12719,12910,14737,18058,10624,13508,13174,12904,10753,15165,13284,11042,20770,15834,17106,11477,15308,13934,16606,12671,17162,12088,15684,12557,12762,14173,15307,13143,13532,13724
2165,PSMA2 Proteasome component C2,M64992_at,919,1276,1443,1055,1989,956,675,598,1899,1259,1543,652,1071,1151,1797,1344,1171,1042,852,2527,1555,690,809,1249,1081,510,475,1275,1712,1079,992,693,899,855,569,989,1205,1370
2171,PPP2R1B Protein phosphatase 2 (formerly 2A); regulatory subunit A (PR 65); beta isoform,M65254_at,352,199,586,302,260,307,418,439,355,328,300,176,245,308,237,315,507,610,250,359,214,205,294,289,241,474,763,294,158,227,410,350,463,287,312,294,336,287
2184,PRE-MRNA SPLICING FACTOR SF2; P32 SUBUNIT PRECURSOR,M69039_at,403,1063,859,709,1630,723,877,628,1452,1023,1328,646,872,1061,1582,1137,1582,451,769,2519,1897,513,811,1288,691,609,948,782,560,1049,1120,618,453,968,817,425,819,631
2186,MSN Moesin,M69066_at,6766,8229,6975,2771,4822,3639,2915,5196,9060,5328,7210,5542,9053,8407,4825,4219,13559,4453,2840,7960,1391,2350,2416,5840,4764,7277,1927,6601,4066,9416,5744,6838,7247,7420,3335,6535,3576,8956
2198,Arginine-rich nuclear protein mRNA,M74002_at,1210,2149,1502,1107,1706,679,1606,962,1366,793,2790,698,1471,1749,1505,1043,2398,993,913,3848,3651,1730,938,1542,942,770,547,1431,988,1176,922,1243,1064,2445,1187,1354,1301,2869
2209,ARF3 ADP-ribosylation factor 3,M74491_at,1815,1790,2660,1821,1870,1911,2690,2313,3347,1519,869,997,2188,986,1840,1990,2749,1080,2337,1693,1223,740,1069,3010,854,2061,2043,2451,1393,3111,3812,1632,2502,2916,1959,3338,1257,712
2233,Ribosomal protein S6 gene and flanking regions,M77232_rna1_at,13058,19729,10716,16647,18333,11254,16372,11832,18139,16914,12209,11965,14187,18532,17094,15409,10246,13516,14233,20041,19552,14010,15104,18481,13588,12487,9627,17818,14374,17821,15095,17430,15683,18298,16663,12386,17148,17646
2255,TRANSCRIPTION ELONGATION FACTOR S-II,M81601_at,1467,2088,2087,1022,1279,1026,1268,800,2190,1164,1771,1097,2944,1608,1644,1733,2505,1252,1511,4255,2599,1098,1164,1354,971,791,965,1359,875,832,1173,1679,1481,799,759,1196,1553,1699
2258,40S RIBOSOMAL PROTEIN S19,M81757_at,19295,21939,18485,18865,21388,13146,13514,18831,21367,16008,19196,21376,18714,21071,23890,25832,19324,21979,22040,20522,13544,18009,14925,22750,21760,18762,14877,20630,20787,18475,23095,23371,18835,18342,18020,15251,19944,21063
2281,Arginine-rich protein (ARP) gene,M83751_at,554,1006,912,290,893,138,126,382,1752,1090,568,196,1140,367,890,518,924,393,574,2185,302,270,193,650,735,546,197,368,250,1173,650,196,398,298,214,742,104,500
2285,ARF1 ADP-ribosylation factor 1,M84332_at,3248,5401,5738,3042,2903,2791,2977,4907,6218,3525,4918,2592,2667,3245,2865,2850,3479,2480,2579,5268,1800,4676,2988,3514,2736,2349,2096,5224,2875,4447,4218,6064,6358,3520,1704,6129,4879,4840
2289,RPS3A Ribosomal protein S3A,M84711_at,15442,17789,19708,17589,17797,12827,15317,17450,18909,16337,11899,17088,18015,11890,14147,16668,12879,13208,16021,9865,22218,12208,13192,20515,11965,13846,19042,18181,13555,16109,15030,13850,19490,18547,17356,12363,4848,4863
2299,YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; zeta polypeptide,M86400_at,6534,7503,9819,5832,6279,5395,4350,6610,11019,7652,6101,3417,11259,5407,6404,8023,9337,2797,5194,9913,3615,6739,4003,5995,4889,4125,3725,5109,2978,10032,4763,5948,6927,3432,1623,6668,4385,3189
2304,HnRNP C2 protein mRNA,M86667_at,2283,2300,2501,2921,3814,1449,1648,808,3489,3490,4537,1748,2584,2475,3624,2729,4863,3079,2381,6413,9815,1460,2179,3494,1871,2221,1589,2147,1521,2629,1594,2380,1939,3368,1445,1497,1980,2102
2323,P62 mRNA,M88108_at,1988,2137,1782,1822,2202,1694,1361,1676,2825,1968,2964,744,2154,2519,2533,1744,3510,1457,1581,4824,2098,1519,1848,2575,1182,1533,1010,1643,1691,1450,1676,2145,1443,1724,1009,1139,1515,1191
2382,SSBP Single-stranded DNA-binding protein,M94556_at,814,943,1608,987,1958,629,566,526,1792,1047,682,227,1280,1366,1241,990,1684,711,741,3119,2577,264,849,990,754,1189,602,804,729,860,715,859,644,924,745,852,635,517
2383,Heterogeneous nuclear ribonucleoprotein D (hnRNP D); partial cds; clone cDx4,M94630_at,3364,2491,3022,2583,2747,3367,3108,1739,5096,2671,2408,1460,3016,2623,3151,2175,4528,1533,2228,4869,1730,1535,2369,2826,1792,1454,854,3143,1615,2503,2814,2152,1549,2375,2084,2891,3019,2531
2385,FATTY ACID-BINDING PROTEIN; EPIDERMAL,M94856_at,363,1049,2027,888,2064,709,719,488,1716,1221,772,429,2163,1411,1359,809,1043,419,458,2701,833,260,894,1773,573,452,650,955,129,1346,473,606,1049,591,577,815,520,247
2392,Angio-associated migratory cell protein (AAMP) mRNA,M95627_at,1228,1054,1927,1095,1197,1241,1883,1836,1660,1123,1144,744,1500,1450,1332,1294,1621,970,1216,2462,537,894,1039,1483,990,1227,1605,1309,695,1381,1748,1467,1802,1275,1113,1565,1436,1676
2412,SATB1 Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's),M97287_at,1122,3212,1882,1083,534,1111,1796,2138,1179,949,997,688,1003,653,2771,1701,2637,271,1263,4035,1476,605,1413,1732,1849,964,1125,1861,1170,1034,1157,2744,1208,1315,841,767,1071,1178
2500,GB DEF = Transcript ch21=oligomycin sensitivity conferral protein oscp homolog [human; RF1;RF48 stomach cancer cell lines; mRNA; 262 nt],S77356_at,1376,1835,2034,1129,1193,1676,1097,3781,1881,3238,887,830,1451,4067,1161,1364,311,1455,2533,2270,906,1493,1734,3089,925,936,1741,2840,947,6896,1828,2203,2438,7193,1565,4162,3157,3488
2520,UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1,S79522_at,14205,15373,15172,11692,16152,10269,13311,14573,14373,12134,15329,11853,12943,15848,13888,14027,14701,12768,13978,17910,19835,12524,15316,15752,15527,14697,10910,14340,12572,14645,10235,14806,15554,15300,15379,12997,14451,17141
2596,54 kDa protein mRNA,U02493_at,6944,5941,8794,5557,5972,6141,5939,5656,12087,5852,7936,5453,6550,5630,5794,4226,9016,3245,2798,8924,5539,5061,6955,6328,3664,2996,3157,5078,2199,4955,5190,4560,4896,4418,3368,5130,4145,3996
2679,SRP14 Signal recognition particle 14 kD protein,U07857_at,3237,6639,5943,2711,3597,2372,1549,2440,5325,3745,5604,1747,2693,2738,2984,3485,5207,1661,1921,8811,3556,3081,2029,2932,3280,1949,1696,3488,2245,3687,2507,4121,2902,2413,1680,2238,3335,3047
2707,ZNF134 Zinc finger protein 134 (clone pHZ-15),U09412_at,364,502,412,302,304,245,369,503,340,468,385,186,328,392,350,183,468,190,225,502,157,431,516,428,312,300,372,289,306,330,346,616,500,393,389,316,329,427
2720,Mitochondrial ATP synthase subunit 9; P3 gene copy; mRNA; nuclear gene encoding mitochondrial protein,U09813_at,1954,4090,3895,2056,3857,2589,1189,1346,4990,3139,3764,1760,2088,3570,4046,2633,1828,2650,1501,4755,4391,1604,2787,2943,2718,2019,1616,2346,2931,2277,1893,1812,1436,1622,1550,1754,1896,3384
2721,ZNF173 Acid finger protein ZNF173,U09825_at,1142,987,757,755,773,599,705,1169,1140,943,910,244,1201,911,933,667,1785,934,757,1495,878,731,575,653,602,1087,1046,783,133,470,741,525,1081,630,579,1229,639,962
2726,RPL9 Ribosomal protein L9,U09953_at,14573,17462,14029,14988,17703,7402,10300,14147,16006,15103,16324,9750,16478,15309,15156,16293,17948,18473,16317,19895,22793,16661,11448,16405,17725,16897,17937,16102,15408,16193,11789,15127,16554,17123,13263,13240,14600,18488
2728,Nuclear factor NF45 mRNA,U10323_at,3215,3784,4719,3110,3157,3142,3150,4100,6142,3665,4923,1751,3412,2030,3862,2767,3809,2249,2428,7637,3380,2398,3592,2819,2296,1259,1785,3371,1050,2693,2432,2844,3425,1653,1764,2682,3065,2904
2749,Edg-2,U11861_at,1587,1834,1871,1730,1528,1273,1466,1934,1999,1949,2456,1284,1286,1610,1819,1884,2083,1373,1435,2841,1946,2019,1350,1705,1560,1987,1491,2293,2264,1630,2028,2314,1893,1514,1291,1675,2018,2489
2756,HSPB1 Heat shock 27kD protein 1,U12404_at,16874,18656,16744,19405,22103,10340,13801,12486,20634,21003,16469,13007,20578,19140,20539,22738,16376,18984,20386,20206,27333,13750,13713,18904,18406,19521,15750,20201,16885,19465,15467,17995,15791,21363,11753,12485,16041,21827
2757,RPS11 Ribosomal protein S11,U12465_at,11717,13457,12592,13384,15305,9376,8594,9229,14537,16775,13554,13107,12381,13106,14170,15241,9875,13340,15303,13965,19655,9730,10937,13478,15005,13950,9483,13618,14683,11048,16012,13732,12980,14241,10649,11759,14872,14907
2783,TFIIA gamma subunit mRNA,U14193_at,796,849,1002,845,1004,359,561,635,852,619,769,327,709,578,864,756,4327,491,476,1538,990,447,431,841,628,541,607,644,423,492,570,490,523,404,596,573,563,525
2793,Protein tyrosine phosphatase PTPCAAX2 (hPTPCAAX2) mRNA,U14603_at,1890,10296,14101,2181,2529,9598,2189,2286,13001,4087,9121,1585,1467,2393,2474,950,1633,1524,1254,3294,3029,2363,9016,2342,953,1087,608,1807,1527,2536,2918,4252,1976,2615,1709,3618,2508,2710
2796,Ribosomal protein L27a mRNA,U14968_at,13353,16698,16707,16960,15831,13912,8088,14679,16866,16302,17025,12258,14389,17786,17641,17532,11778,13791,13882,15747,20294,14081,16318,17417,11294,15807,18900,16390,18236,14805,16203,17261,16761,18118,14345,13597,15491,15863
2797,Ribosomal protein L28 mRNA,U14969_at,19130,20960,20453,21278,18912,27775,17528,21222,21087,22181,23149,23799,16759,20376,21418,22477,18183,21917,20035,18353,16588,22724,23148,21532,23912,22006,23587,20908,23838,21999,24088,20884,21558,22820,18161,19822,21241,23651
2798,RPS5 Ribosomal protein S5,U14970_at,15119,20593,14283,18977,22706,14611,13830,16711,22709,20338,19725,23650,14555,18743,22167,18557,22629,18432,21879,18643,9454,16951,13981,18952,23576,17285,18086,20627,20969,16168,20236,19187,16571,15440,13350,7341,18590,20343
2799,RPS9 Ribosomal protein S9,U14971_at,12143,14953,11750,13939,15848,10055,7853,9769,16610,15529,12024,13451,10227,11334,15059,14143,10184,12278,9848,14539,5755,13042,6598,12014,16104,11140,9987,16028,17052,13049,16813,14459,13040,13673,9135,7538,15619,17284
2800,Ribosomal protein S10 mRNA,U14972_at,12720,15360,10604,14156,14358,7194,7747,11387,15426,13630,15537,17485,13237,13232,14540,13733,13555,12561,11493,17445,13401,13564,13339,13594,16518,13213,11874,15182,19666,13483,15013,14795,14815,12330,9967,7507,13794,15745
2801,40S RIBOSOMAL PROTEIN S29,U14973_at,19398,18006,21085,20331,18998,23824,23848,23246,18541,22030,20014,21289,21565,18057,18202,21255,18239,22268,20849,12932,24478,23416,26307,19490,20967,19273,26052,18813,22737,18883,21504,20264,20138,20310,28672,20056,19179,22051
2802,SnRNP core protein Sm D2 mRNA,U15008_at,7093,10263,10012,7288,8690,6479,3972,5473,13151,9053,9476,8310,5507,8576,10876,9058,7647,5634,5531,13522,12649,5249,6790,6677,7711,5401,4825,7421,8322,6778,6328,4976,4707,5803,3902,4318,7303,7159
